trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
8/3/2020 6:25,5.72E+11,"fraud_Swaniawski, Bahringer and Ledner",grocery_net,86.37,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,2/4/1952,bb8fc747c73efeeffec3df553d7535b0,1362723916,37.816853,-85.877984,0
8/3/2020 6:26,3.58E+15,"fraud_Kerluke, Kertzmann and Wiza",misc_net,217.78,Crystal,Gamble,F,899 Michele View Suite 960,Philadelphia,PA,19149,40.0369,-75.0664,1526206,Structural engineer,1/1/1985,85ea04dd5e90336ff0aadd7c3a685172,1362723974,39.307151,-75.40556,0
8/3/2020 6:26,3.54E+15,"fraud_Bernhard, Grant and Langworth",shopping_pos,3.99,Michelle,Juarez,F,44864 Melton Vista Suite 310,San Jose,CA,95148,37.3304,-121.7913,973849,Science writer,12/6/1955,37e74e3da004fa77d692cd7d103328e0,1362723986,38.189971,-121.737225,0
8/3/2020 6:28,3.69E+13,fraud_Kiehn Inc,grocery_pos,238.49,Ana,Mccormick,F,4503 Patricia Route,Meridian,ID,83646,43.6498,-116.4306,84106,Intelligence analyst,11/2/1971,1a389bd0b9028bc6128ee9290efe2ce6,1362724128,44.601717,-116.191379,0
8/3/2020 6:28,4.59E+15,fraud_Skiles-Ankunding,grocery_net,105.64,Tina,Lawrence,F,12444 Jacob Pines,Nobleboro,ME,4555,44.0943,-69.4828,1643,Financial trader,12/4/1976,73116d9ed40d6bd0957e63fa062806d7,1362724137,44.118252,-69.960947,0
8/3/2020 6:28,4.45E+15,"fraud_Connelly, Reichert and Fritsch",gas_transport,74.91,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,20/01/1972,3305fac6c7909df3414cd9be21566b86,1362724137,33.771957,-94.774106,0
8/3/2020 6:30,2.13E+14,fraud_Koelpin and Sons,misc_net,22.24,Jill,Jacobs,F,034 Kimberly Mountains,Brandon,FL,33510,27.9551,-82.2966,79613,Environmental consultant,30/11/1978,3d132c7990a718f0501ff75405ade37a,1362724234,28.310144,-83.107421,0
8/3/2020 6:31,3.02E+13,fraud_Bashirian Group,shopping_net,16.01,Michael,Rodriguez,M,172 Paula Inlet Apt. 650,Cross Plains,TX,76443,32.1482,-99.1872,1897,Chief Operating Officer,19/04/1953,9ee19ea61cd027d8c68c9580fc795e64,1362724286,32.602318,-99.548314,0
8/3/2020 6:31,3.46E+14,"fraud_Yost, Block and Koepp",misc_pos,3.08,Jason,Mcmahon,M,6385 Donald Square Suite 429,Springfield,VA,22151,38.8029,-77.2116,104396,Production engineer,20/11/1950,0245c31ece940c48446dfa0e58f3c31a,1362724313,37.912817,-77.421013,0
8/3/2020 6:33,3.54E+15,fraud_Trantow PLC,grocery_net,8.71,Jason,Singh,M,4720 Anna Ways,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,7/5/2003,79a946a7672ad9c3d41aeb8e1872c1a5,1362724431,39.241403,-90.199525,0
8/3/2020 6:34,4.71E+15,fraud_Brekke and Sons,gas_transport,67.37,Susan,Shah,F,9016 Jordan Bypass Apt. 516,Cranks,KY,40820,36.7558,-83.1838,581,"Psychologist, counselling",4/2/1967,1b317cc1c1e7a51fb418bae9375b5f8c,1362724444,36.536542,-84.036328,0
8/3/2020 6:34,2.71E+15,fraud_Gislason Group,misc_pos,37.05,David,Serrano,M,4739 Martin Common,Zaleski,OH,45698,39.283,-82.3977,341,Accounting technician,18/12/1978,48b6a3ca95b7e1ffa9b14467d2035b7b,1362724470,39.731713,-81.959876,0
8/3/2020 6:34,6.30E+11,fraud_Collier Inc,grocery_net,46.76,Ian,Patton,M,8088 Sherman Radial Suite 689,Helm,CA,93627,36.4992,-120.0936,123,Early years teacher,7/2/1973,3ecca8c84c0c69afa286b33f2a3342bc,1362724479,37.207978,-120.591311,0
8/3/2020 6:34,4.64E+15,"fraud_Streich, Hansen and Veum",gas_transport,47.03,Sabrina,Johnson,F,320 Nicholson Orchard,Thompson,UT,84540,38.9999,-109.615,46,"Surveyor, minerals",23/04/1987,59cfb00c403e80d983b5f69764a25576,1362724483,38.503201,-108.67422,0
8/3/2020 6:34,3.52E+15,"fraud_Ferry, Lynch and Kautzer",misc_net,13.02,Antonio,Koch,M,8738 Richard Brooks,Moab,UT,84532,38.5677,-109.5271,9772,Location manager,24/11/1989,c9b822240f99f7939fa2ee2c69e50bfd,1362724485,39.374135,-109.252177,0
8/3/2020 6:34,6.01E+15,fraud_Kutch and Sons,grocery_pos,95.18,Emily,Hall,F,8851 Reese Neck,Basye,VA,22810,38.8089,-78.7776,863,"Engineer, mining",9/8/1972,9c2be3ff3e0ac68581c1694c644b8e0e,1362724488,38.804616,-78.8518,0
8/3/2020 6:35,6.01E+15,"fraud_Heller, Gutmann and Zieme",grocery_pos,54.93,Victoria,Fleming,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,"Lecturer, further education",4/12/1995,36e19f2cd656f357b9d1a884457e627e,1362724538,45.541537,-94.059587,0
8/3/2020 6:35,2.38E+15,fraud_Bailey-Morar,grocery_pos,108.72,Patrick,Vaughan,M,651 Miller Common,Parsonsfield,ME,4047,43.745,-70.9092,1892,Audiological scientist,2/3/1956,315e1aa179912ae76531347421c8bfbc,1362724551,43.209452,-70.647241,0
8/3/2020 6:36,3.55E+15,fraud_Huels-Hahn,gas_transport,75.16,Keith,Sanders,M,8030 Beck Motorway,Moorhead,MS,38761,33.4783,-90.5142,2870,Chartered public finance accountant,5/3/1999,c62620d7561adae337867e2ce27f41bc,1362724610,33.135565,-90.729429,0
8/3/2020 6:36,3.58E+15,fraud_Hills-Witting,shopping_net,80.52,Tyler,Small,M,047 Kevin Haven,Boyd,WI,54726,44.9437,-91.0294,1690,IT trainer,24/12/1975,120b16e42c28a83bd08afe1e6ff074d3,1362724618,45.245751,-90.804711,0
8/3/2020 6:37,3.62E+13,"fraud_Kutch, Hermiston and Farrell",gas_transport,50.17,Erik,Stevens,M,84033 Pitts Overpass,Lakeland,FL,33809,28.1762,-81.9591,237282,Plant breeder/geneticist,13/10/1949,258312bbd1bb073141926e8772ff591f,1362724621,27.305038,-82.221756,0
8/3/2020 6:37,3.00E+13,fraud_Keeling-Crist,misc_pos,64.46,Allison,Ayala,F,87665 Karen Mill Apt. 586,Fort Myers,FL,33967,26.4722,-81.8122,224256,Paramedic,29/08/1985,c3d6be06a6b0bdb89c6b94c79ec3163a,1362724652,26.931767,-80.996154,0
8/3/2020 6:40,6.30E+11,fraud_Huels-Nolan,gas_transport,44.84,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,26/07/1965,b1f409f64d8ec95ae9b485883b10228e,1362724827,32.803175,-99.332429,0
8/3/2020 6:40,4.19E+15,fraud_Bruen-Yost,misc_pos,103.68,Jennifer,Spencer,F,477 Wheeler Burg,Amanda,OH,43102,39.6251,-82.7552,4512,Farm manager,3/10/1992,bf80be9432bc761d9b3830824cacc697,1362724856,40.429791,-82.437331,0
8/3/2020 6:41,3.54E+15,fraud_Mraz-Herzog,gas_transport,78.85,Mark,Nguyen,M,62631 Ashley Ramp Apt. 965,Sea Island,GA,31561,31.1989,-81.3322,298,"Engineer, structural",22/04/1963,ca77e582611de8c6e1b192cfc9632a58,1362724867,31.206983,-82.243181,0
8/3/2020 6:41,3.00E+13,fraud_Bailey-Morar,grocery_pos,104.4,John,Peters,M,555 Michael Burgs,Mayersville,MS,39113,32.9013,-91.0286,595,Technical brewer,3/9/1979,e65d2fc53359ad4d97320cfed2f7868c,1362724880,32.755669,-90.574228,0
8/3/2020 6:41,6.55E+15,"fraud_Turner, Ruecker and Parisian",misc_pos,1.34,Monique,Robinson,F,07712 Marcus Divide Apt. 831,Laguna Hills,CA,92637,33.615,-117.7114,45303,Sales executive,22/12/1969,c6e874a5c101398fefdc075e0a5f67e5,1362724885,32.770766,-117.422468,0
8/3/2020 6:41,3.53E+15,"fraud_Kovacek, Dibbert and Ondricka",grocery_pos,98.14,Jeffrey,Smith,M,713 Scott Pike Apt. 712,Bridger,MT,59014,45.2857,-108.9082,1446,Chartered loss adjuster,15/01/1978,3608dfd46208a27b01cba26b34258ae5,1362724887,45.242384,-109.720055,0
8/3/2020 6:41,3.78E+14,fraud_Spencer PLC,entertainment,1.67,Lawrence,Davis,M,7421 Serrano Lane Apt. 580,Powell,TN,37849,36.0435,-84.04,25459,"Teacher, special educational needs",22/02/1969,85d770952302b7d48001fa1be0e89021,1362724899,35.743995,-83.263866,0
8/3/2020 6:42,3.54E+15,fraud_Bernhard Inc,gas_transport,85.33,Jason,Singh,M,4720 Anna Ways,Murrayville,IL,62668,39.5723,-90.2379,1512,Commercial/residential surveyor,7/5/2003,1f3b1580057a443c26772f56b1e8fc57,1362724926,39.891349,-90.785113,0
8/3/2020 6:42,4.98E+15,fraud_Fisher-Schowalter,shopping_net,6.15,Kelly,Zimmerman,F,1893 Katie Tunnel,Westerville,NE,68881,41.4193,-99.3844,73,Product designer,10/2/1935,1ec5b399f53e5c473940768a58878fb7,1362724941,40.818246,-99.72239,0
8/3/2020 6:42,3.86E+13,fraud_Rau and Sons,grocery_pos,78.41,Jacqueline,Curry,F,3047 Jeff Place,Marathon,TX,79842,30.1886,-103.2214,498,Lexicographer,23/11/1990,ffe0e09a2f59912fb1688a720fa81b02,1362724944,29.433718,-102.688995,0
8/3/2020 6:42,2.23E+15,"fraud_Reichert, Huels and Hoppe",shopping_net,7.59,Jamie,Robinson,F,67089 Caitlin Meadow Apt. 905,Sturgis,MS,39769,33.357,-89.0473,1923,Medical physicist,16/01/1960,f390c1eeb89604927aea9b842430a8f3,1362724968,33.618871,-88.491543,0
8/3/2020 6:44,4.43E+12,fraud_Torp-Labadie,gas_transport,67.98,Michelle,Rodriguez,F,1742 Brandon Squares Apt. 461,Ruidoso,NM,88355,33.3305,-105.6933,8874,Licensed conveyancer,16/08/2000,3738e63b761a973932df037582a519ca,1362725042,33.385695,-105.990194,0
8/3/2020 6:44,4.66E+15,fraud_Bernhard-Lesch,food_dining,64.83,Alicia,Mitchell,F,125 Kristen Dale,Grand Ridge,FL,32442,30.7148,-85.021,3699,Art gallery manager,7/9/1948,7c7145edef706359ed147d518cfb4d8f,1362725097,31.361303,-85.985044,0
8/3/2020 6:45,3.75E+14,fraud_Heidenreich PLC,grocery_pos,94.45,David,Erickson,M,616 Jimenez Meadow Apt. 701,East Rochester,NY,14445,43.1128,-77.4906,8019,Retail buyer,26/06/1928,eea3d3d61966d51f4c8474f07bd49df2,1362725126,43.587255,-77.408127,0
8/3/2020 6:45,4.43E+15,fraud_DuBuque LLC,grocery_pos,149.3,Brittany,Guerra,F,79209 Gary Dale,Colton,WA,99113,46.5901,-117.1692,761,Chief Marketing Officer,30/06/1943,986f2ea5d7b5a36e5bd864b5e4cad827,1362725137,45.63394,-117.589088,0
8/3/2020 6:47,3.02E+13,fraud_Bartoletti-Wunsch,gas_transport,66.87,Danielle,Yu,F,5395 Colon Burgs Suite 037,Thrall,TX,76578,30.592,-97.2893,1766,Press sub,2/1/1976,52c85e57b9f6d81039216a500581a5b0,1362725253,29.755886,-97.301857,0
8/3/2020 6:47,3.51E+15,"fraud_Kuhic, Bins and Pfeffer",shopping_net,7.62,Christopher,Castaneda,M,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,30/08/1967,e30b22e9340640e48ea0c1298b8eb6b6,1362725268,33.868709,-105.908345,0
8/3/2020 6:48,3.52E+15,"fraud_Jenkins, Hauck and Friesen",gas_transport,73.14,Audrey,Gonzalez,F,34180 Lopez Plaza,Fields Landing,CA,95537,40.7268,-124.2174,276,"Scientist, audiological",6/5/1929,0823e47a5e96fd5236aeb0eee34da88e,1362725302,41.695611,-123.222819,0
8/3/2020 6:48,3.46E+14,fraud_Kunze Inc,grocery_pos,104.92,Carol,Dillon,F,27479 Reeves Dale,Whaleyville,MD,21872,38.4121,-75.2811,718,Regulatory affairs officer,19/03/1985,645ff68d479a3bef6557a4144f000d60,1362725328,39.223022,-74.888007,0
8/3/2020 6:49,4.71E+15,"fraud_Stroman, Hudson and Erdman",gas_transport,97.41,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",8/9/1938,da675d71decdef182f342d09779688f9,1362725345,36.536594,-91.10263,0
8/3/2020 6:49,3.04E+13,"fraud_Hoppe, Harris and Bednar",entertainment,29.04,John,Chandler,M,88325 Brandon Greens Apt. 477,Detroit,MI,48202,42.377,-83.0796,673342,Broadcast presenter,20/11/1969,034d0bf58232c664b2695049f1bbd22a,1362725365,42.597227,-82.849609,0
8/3/2020 6:50,3.55E+15,fraud_Mohr-Bayer,shopping_net,29.16,Erika,Anderson,F,3786 Hale Corners,Rochester,KY,42273,37.2048,-86.8592,443,"Development worker, international aid",15/07/1947,7d04843d46e500772ae68524b59fecf2,1362725411,37.553181,-87.501077,0
8/3/2020 6:50,3.45E+14,fraud_Kunde-Sanford,misc_net,79.34,Joanna,Hudson,F,2924 Bobby Trafficway,Sebring,FL,33872,27.4703,-81.4872,50835,Environmental consultant,30/01/1986,61e6ccfa1bf646a31d8bbb74054ecab6,1362725427,28.143059,-81.628032,0
8/3/2020 6:50,2.13E+14,"fraud_Robel, Cummerata and Prosacco",gas_transport,66.3,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",15/01/1951,7521743bbd5a16610bae1e543bc4ccaf,1362725445,40.954269,-124.439654,0
8/3/2020 6:50,4.31E+12,fraud_Bashirian Group,shopping_net,3.92,Maureen,Garza,F,169 Edward Inlet,Saint Louis,MO,63131,38.6171,-90.4504,927396,Occupational hygienist,12/3/1960,6af221fecf7eadd9c45df46bb60562f9,1362725456,38.054966,-89.960325,0
8/3/2020 6:51,5.74E+11,"fraud_Jenkins, Hauck and Friesen",gas_transport,70.41,Cristian,Jones,M,0423 Kirby Field Suite 623,Wilmette,IL,60091,42.0765,-87.7246,27020,Trade mark attorney,23/07/1986,ccdfdcd6dbba2d5195d5802bcb3cbca9,1362725495,41.181587,-88.521036,0
8/3/2020 6:52,6.76E+11,fraud_Koepp-Witting,grocery_pos,92.23,Brandy,Quinn,F,9734 Beard Fields Suite 885,Altair,TX,77412,29.6047,-96.5249,106,"Editor, film/video",24/07/1983,2e758ee5f4a872de0dd22c82ad083bef,1362725544,29.678769,-96.283895,0
8/3/2020 6:52,3.59E+15,fraud_O'Keefe-Hudson,grocery_pos,110.49,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",5/3/1972,9c09ad286f5c6205307508087eaacfd7,1362725577,43.640619,-97.070333,0
8/3/2020 6:53,3.52E+15,fraud_Auer-West,shopping_net,8.6,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,10/9/1961,b4b1bdb6c4b21a120e164fcdf49a32c8,1362725595,40.96745,-79.993536,0
8/3/2020 6:53,2.72E+15,fraud_Hackett-Lueilwitz,grocery_pos,68.1,Mark,Wood,M,854 Walker Dale Suite 488,Bowdoin,ME,4287,44.0575,-69.9656,3224,"Engineer, electronics",22/08/1997,ccd9585da1e6fa432bdab57303dd31b7,1362725615,43.942189,-70.50446,0
8/3/2020 6:53,6.01E+15,fraud_Smitham-Schiller,grocery_net,69.03,Erin,Chavez,F,3379 Williams Common,Littleton,CO,80120,39.5994,-105.0044,320420,Water engineer,31/07/1975,d61999613801564d9757bfed4dc847d1,1362725616,40.509606,-104.113089,0
8/3/2020 6:54,6.59E+15,fraud_Hackett-Lueilwitz,grocery_pos,65.88,Philip,Hart,M,97405 Vazquez Plains,Montgomery,AL,36111,32.3374,-86.2715,214703,"Chemist, analytical",7/10/1994,5618c55d6f63d103d576c70eafa027da,1362725652,32.766223,-86.646184,0
8/3/2020 6:54,4.74E+15,fraud_Jewess LLC,shopping_pos,2.92,Heather,Hines,F,13776 Hicks Plains,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,16/10/1962,2e54f3bd9c733621cdaf0301e2266f66,1362725652,41.236789,-74.988367,0
8/3/2020 6:55,3.58E+15,"fraud_Stokes, Christiansen and Sipes",grocery_net,75.14,Debbie,Hughes,F,0182 Owens Burgs Suite 480,Diamond,OH,44412,41.0935,-81.0425,2644,"Engineer, biomedical",25/08/1983,4581d24ec65092b0684f4b0a2ac3c38b,1362725712,40.561559,-81.226925,0
8/3/2020 6:55,4.05E+15,fraud_Schamberger-O'Keefe,grocery_pos,111.38,Cheryl,Melton,F,5053 Bell Crescent Apt. 255,Fullerton,NE,68638,41.366,-98.0054,1749,"Surveyor, mining",7/5/1973,2a9e7c4325fdcd8ce5fcc8f7e4ebc10a,1362725716,40.557791,-98.387524,0
8/3/2020 6:56,3.56E+15,"fraud_Daugherty, Pouros and Beahan",shopping_pos,7.56,Matthew,Young,M,8840 Miller Port Suite 645,Indian Wells,CA,92210,33.7163,-116.3381,4677,Learning mentor,6/5/1955,eaaae42e02bb64803a40e260ac9a4126,1362725780,33.943366,-117.085351,0
8/3/2020 6:56,3.56E+15,fraud_Kuhn LLC,shopping_pos,47.66,Brooke,Smith,F,63542 Luna Brook Apt. 012,Notrees,TX,79759,31.8599,-102.7413,23,Cytogeneticist,15/09/1969,fb03028a9f0b459dbc722c93e501769f,1362725794,31.767618,-103.359305,0
8/3/2020 6:57,3.03E+13,fraud_Predovic Inc,shopping_net,2.75,Helen,Campbell,F,182 Sergio Summit Apt. 129,Browning,MO,64630,40.029,-93.1607,602,Cytogeneticist,14/07/1954,1b8b7c6a548511eafa5b5bf9a7fd70e4,1362725855,39.146279,-93.827784,0
8/3/2020 6:58,3.74E+14,"fraud_Greenholt, Jacobi and Gleason",gas_transport,79.69,Linda,Hurst,F,31701 Tucker Square Suite 893,Wilton,ND,58579,47.1709,-100.7944,1190,"Designer, ceramics/pottery",30/06/1948,524531bf3eeb53254bf7922d24fadbcb,1362725900,46.543852,-101.48377,0
8/3/2020 6:59,4.98E+18,fraud_Kutch LLC,gas_transport,71.45,Patrick,Massey,M,7812 Shane Shoals Apt. 607,North Haverhill,NH,3774,44.0978,-72.0191,1966,Structural engineer,27/10/1947,ae2daee3a8a74e927a24a9bcd43d9aed,1362725996,44.969411,-72.260955,0
8/3/2020 7:00,4.87E+15,fraud_Kutch and Sons,grocery_pos,210.13,Elizabeth,Maxwell,F,194 Goodman Fall Apt. 569,Burlington,WA,98233,48.4786,-122.3345,14871,Public house manager,10/3/1974,7093a2262f08095179f11a91c3779d32,1362726059,48.05745,-123.32277,0
8/3/2020 7:01,3.72E+14,fraud_Lockman Ltd,grocery_pos,73.08,Debra,Becker,F,384 Jonathan Hills,Iselin,NJ,8830,40.5716,-74.3167,18459,Emergency planning/management officer,19/03/1929,8bdab4bc38daf2b346aca3bf2db8a3d7,1362726102,41.340894,-75.056043,0
8/3/2020 7:01,3.01E+13,fraud_Skiles-Ankunding,grocery_net,69.11,Kelsey,Richards,F,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,16/08/1993,319f3d5c155f560f3038a479821dfbb5,1362726103,37.272889,-100.221304,0
8/3/2020 7:03,3.44E+14,fraud_Goldner-Lemke,entertainment,14.59,Sally,Moore,F,835 Reese Views Suite 884,Hopkins,SC,29061,33.9349,-80.8449,13717,Chiropodist,16/11/1949,96e0d8bb636add889ff03d13aa92fd8e,1362726233,34.594789,-81.648587,0
8/3/2020 7:04,3.52E+15,"fraud_Ferry, Lynch and Kautzer",misc_net,38.3,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,10/9/1961,7c3c9674e2cc2966252e277660d5fb26,1362726272,40.310019,-81.857514,0
8/3/2020 7:06,6.76E+11,fraud_Morar Inc,grocery_net,55.59,David,Wolfe,M,81261 Garcia Underpass Suite 741,Southfield,MI,48034,42.4969,-83.2911,75830,"Engineer, automotive",28/12/1974,cb9edc56387f0c45c5ca9ec0b7433777,1362726374,41.542393,-83.390965,0
8/3/2020 7:06,6.01E+15,fraud_Heller-Langosh,gas_transport,81.99,Victoria,Fleming,F,2807 Parker Station Suite 080,Stanchfield,MN,55080,45.6675,-93.2433,2607,"Lecturer, further education",4/12/1995,8b2895e4ce31cd34c110dc175ffa3c63,1362726382,45.650597,-92.370891,0
8/3/2020 7:07,2.71E+15,"fraud_Christiansen, Goyette and Schamberger",gas_transport,48.09,Jenna,Brooks,F,50872 Alex Plain Suite 088,Baton Rouge,LA,70808,30.4066,-91.1468,378909,"Designer, furniture",22/02/1977,bc1ec619dd0e5cd598081ee85870e499,1362726472,30.730814,-90.328329,0
8/3/2020 7:08,3.54E+15,fraud_Corwin-Collins,gas_transport,74.81,Matthew,Myers,M,4936 Michelle Points,Tower Hill,IL,62571,39.39,-88.9597,1532,Radio broadcast assistant,9/1/1980,3bb5f2e7192a8c9d582c9e48f3e2e0c1,1362726507,40.284924,-89.727907,0
8/3/2020 7:09,4.54E+18,fraud_Corwin-Collins,gas_transport,91.25,Nathan,Mendoza,M,767 Adam Mill Apt. 115,Espanola,NM,87533,35.9866,-106.0654,18408,Historic buildings inspector/conservation officer,18/07/1972,e84286436e9105b72271a5095df6361d,1362726549,35.67234,-105.64227,0
8/3/2020 7:10,2.13E+14,"fraud_Little, Gutmann and Lynch",shopping_net,195.89,Adam,Kirk,M,40847 Stark Junctions,Big Indian,NY,12410,42.074,-74.453,397,Psychiatrist,12/9/1931,eddc976e1a88be4926cbfcd76b6aacb0,1362726618,42.50749,-74.797506,0
8/3/2020 7:11,1.80E+14,fraud_Marks Inc,gas_transport,70.03,Mackenzie,Salazar,F,982 Melissa Lock,Bagley,WI,53801,42.9207,-91.0685,878,Risk analyst,20/11/1974,225239dd0b0677f8d6ee8d7f49e1f2a0,1362726718,42.602892,-91.651497,0
8/3/2020 7:12,4.45E+15,"fraud_Schultz, Simonis and Little",grocery_pos,105.52,Donna,Davis,F,6760 Donovan Lakes,Clayton,OK,74536,34.5906,-95.38,1760,Occupational psychologist,20/01/1972,c4ddfe8d603753e1156c36bab7503ae3,1362726771,34.19193,-94.70875,0
8/3/2020 7:12,3.51E+15,fraud_Harris Inc,gas_transport,49.12,Randy,Murphy,M,0356 Sarah Light,Ballwin,MO,63021,38.577,-90.5255,92608,"Engineer, communications",26/07/2001,5a3de47de5899ee10ef1013225d1a689,1362726777,39.106578,-90.006812,0
8/3/2020 7:14,3.65E+13,fraud_Cummings Group,grocery_net,44.46,Michael,Gross,M,230 Ryan Tunnel Apt. 025,Fulton,OH,43321,40.4971,-82.8342,267,Facilities manager,29/01/2005,80fa5707baa6ea29732fc105b3750457,1362726852,40.532521,-82.69641,0
8/3/2020 7:16,3.77E+14,fraud_Ledner-Pfannerstill,gas_transport,75.44,Richard,Vance,M,169 Shelia Knoll Suite 753,Zavalla,TX,75980,31.1569,-94.3871,2836,"Designer, jewellery",3/12/1985,b296973f7a1a5f6c34d6238087a9f516,1362726963,31.51279,-94.883343,0
8/3/2020 7:16,4.71E+15,"fraud_Schultz, Simonis and Little",grocery_pos,144,Jared,Walters,M,3326 Hannah Fords,Cord,AR,72524,35.8184,-91.3375,376,"Designer, ceramics/pottery",8/9/1938,cac54b4f9b92ccc939f26e403e30ded4,1362726975,36.018043,-91.833873,0
8/3/2020 7:17,4.88E+15,"fraud_Osinski, Ledner and Leuschke",grocery_pos,98.69,Collin,Brown,M,995 Benjamin Bypass,Du Pont,GA,31630,31,-82.8555,419,Advertising account executive,28/10/1990,db35b88cda0a45c3493e2f04d7bc2f0d,1362727046,31.52169,-82.001417,0
8/3/2020 7:18,3.52E+15,fraud_Huel Ltd,misc_net,8.19,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,10/9/1961,6ffe00593af1cf1f51f6f55d8c70795d,1362727088,39.733897,-81.144005,0
8/3/2020 7:18,4.26E+12,"fraud_Schumm, Bauch and Ondricka",grocery_pos,123.74,Julie,Johnson,F,9331 Robert Passage Suite 327,Hudson,KS,67545,38.1485,-98.6408,215,Probation officer,22/11/1968,b992a5650e63fa6b6c02761f7e27194e,1362727135,37.68156,-99.180386,0
